state,year,pop_tot,pop_male_pcp,pop_white_pcp,pop_black_pcp,pop_hisp_pcp,empl_notinlabor_pcp,rentpct_median,rentpct_50plus_pcp,hmls_unshelt_pcp,hmls_shelt_pcp,shelter_beds_pcp,temp_degf,precip_in,illicit_pastmon_pcp,restriction,conservative,moderate,liberal,undecided,clusterpred
NE,2016,1907116,0.4981993753919531,0.7969861298421281,0.04712822922150514,0.10615452861808092,0.3051257585742645,27.2,0.18873325283636097,0.000052959547295497495,0.0013911057324252957,0.001433053888698957,26,0.4,0.07026316175838282,0,0.41,0.29,0.21,0.09,0
NE,2017,1920076,0.4996015782708601,0.7904030882110916,0.046327332876406974,0.10932744328870315,0.29941720433124813,25.2,0.15693542554362352,0.0000624975261395903,0.0012400550811530377,0.0013379678721050624,24.8,1.01,0.07343459321401861,0,0.41,0.29,0.21,0.09,0
NE,2018,1929268,0.4982267886058339,0.7854072114397792,0.04728269996703413,0.11117325327533552,0.30909932286054403,26.4,0.19078684032267998,0.00007463970790994304,0.0011802403813259744,0.0012388118187830826,23,0.72,0.077749695739524,0,0.41,0.29,0.21,0.09,0
NE,2019,1934408,0.499713607470606,0.78357616387029,0.048934350974561724,0.11345693359415387,0.3045206686587733,26.3,0.16644493490314294,0.000056864942659459635,0.0011657313245189225,0.0013223683938445251,26.4,0.25,0.07702614960235897,0,0.41,0.29,0.21,0.09,0
NV,2011,2723322,0.5040718651705527,0.534640413436237,0.08172041352436472,0.27070651212012387,0.3487673711397923,31.2,0.24484990485861546,0.0016909495094594028,0.0016689175940267072,0.001753373269852041,32.9,0.29,0.08004929273879476,0,0.33,0.37,0.24,0.05,3
NV,2012,2758931,0.5044939507367165,0.5274506683929392,0.08253051634854225,0.2725878247770604,0.34883835739052,30.7,0.24753841785150602,0.0016408529245566488,0.0014389631346343927,0.0016781862250270123,35,0.95,0.09061480696690132,0,0.33,0.37,0.24,0.05,3
NV,2013,2790136,0.5028672437472582,0.5209516668721524,0.0839310341861472,0.2749163481636737,0.353937571176765,29.7,0.2242030402780082,0.001197432669948705,0.0013253834221701021,0.0014081750853721826,26,0.68,0.08852615069659688,0,0.33,0.37,0.24,0.05,3
NV,2014,2839099,0.5025340785932438,0.5133318704279068,0.08558842083351091,0.2782706767182124,0.36335682089931437,29.8,0.22082962074600834,0.0013331694315696634,0.0016896205451095577,0.001822761376056277,37.1,0.51,0.07854604577015455,0,0.33,0.37,0.24,0.05,3
NV,2015,2890845,0.5007034275445414,0.5052806359386269,0.08534528831535416,0.281368942298878,0.3652437585570544,29.8,0.22238548961083687,0.0014580511926443652,0.0015663240332843857,0.0015448770169275766,37.7,0.5,0.10688916216538763,0,0.33,0.37,0.24,0.05,3
NV,2016,2940058,0.5010625640718652,0.4978119479275579,0.0887713779796181,0.28456105287718814,0.36737373547408714,29.9,0.22156147406779234,0.001335687935408077,0.001180588954367567,0.0012166426648725977,31.1,1.72,0.08571259478554505,0,0.33,0.37,0.24,0.05,3
